"No.","Radio ID","Name","Call Type","Call Alert"
"1","268112","Emergencia","Group Call","None"
"2","268911","PT Hotspot 1","Group Call","None"
"3","8","Regional","Group Call","None"
"4","92","Europe","Group Call","None"
"5","91","Worldwide Englis","Group Call","None"
"6","915","Portugues","Group Call","None"
"7","268","Portugal","Group Call","None"
"8","2","Local","Group Call","None"
"9","26863","CU3-Terceira Isl","Group Call","None"
"10","268915","PT Hotspot 2","Group Call","None"
"11","2686","Ilhas Azores","Group Call","None"
"12","26867","CU7-Faial Ils.","Group Call","None"
"13","268967","DMR APRS GPS","Private Call","None"
