"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","Ana VHF CPT N","CQ0VMU|CQ0VSA|CQ0VPD|CQ0VMI|CQ0VBRG|CQ0VMA|CQ0VBA|CQ0VSF|CQ0VCO|CQ0VAR|CQ0VSE|CQ0VTM","145.73750|145.62500|145.67500|145.77500|145.70000|145.65000|145.76250|145.61250|145.68750|145.72500|145.60000|145.77500","145.13750|145.02500|145.07500|145.17500|145.10000|145.05000|145.16250|145.01250|145.08750|145.12500|145.00000|145.17500","CQ0VMI","145.77500","145.17500","CQ0VSE","145.60000","145.00000","0"
"2","Ana VHF CPT C","CQ0VCP|CQ0VLO|CQ0VG|CQ0VCD|CQ0VENT|CQ1VFLW|CQ0VSMA|CQ0VMO|CQ0VVAR|CQ0VMC|CQ0VEC|CQ0VSI","145.66250|145.70000|145.63750|145.61250|145.68750|145.78750|145.66250|145.75000|145.63750|145.67500|145.66250|145.71250","145.06250|145.10000|145.03750|145.01250|145.08750|145.18750|145.06250|145.15000|145.03750|145.07500|145.06250|145.11250","CQ0VCP","145.66250","145.06250","CQ0VCP","145.66250","145.06250","0"
"3","Ana VHF CPT S","CQ0SAAS|CQ0VMST|CQ0VCSC|CQ0VARB|CQ0VSTC|CQ0VSP|CQ0VFO|CQ0VFD|CQ0VTA|CQ0VSM","144.50000|145.62500|145.60000|145.73750|145.70000|145.75000|145.65000|145.76250|145.57500|145.72500","144.50000|145.02500|145.00000|145.13750|145.10000|145.15000|145.05000|145.16250|144.97500|145.12500","CQ0VSM","145.72500","145.12500","CQ0VCSC","145.60000","145.00000","0"
"4","Ana UHF CPT N","CQ0UAV|CQ0UAT|CQ0USA|CQ0UBO|CQ0DBO|CQ0UCVM 2|CQ0UCVM 1|CQ0UBRG|CQ0UGMR|CQ0UAST|CQ0URTD|CQ0UMA|CQ0UMR|CQ0UBA|CQ0USJ|CQ0DGM|CQ0UGM|CQ0UPRT|CQ0UCO|CQ0UOAZ|CQ0UAZ|CQ0URBL|CQ0UAE|CQ0UTRZ|CQ0UAR|CQ0UMU|CQ0UCE|CQ0UCAR|CQ0UCL|CQ0UCA","439.32500|438.67500|438.65000|438.90000|438.40000|439.02500|439.02500|438.80000|439.10000|439.20000|438.70000|438.92500|439.15000|439.27500|439.12500|438.25000|439.12500|439.42500|438.90000|439.40000|439.40000|438.87500|438.80000|439.17500|438.95000|438.97500|439.05000|439.25000|439.32500|438.70000","431.72500|431.07500|431.05000|431.30000|430.80000|431.42500|431.42500|431.20000|431.50000|431.60000|431.10000|431.32500|431.55000|431.67500|431.52500|430.65000|431.52500|431.82500|431.30000|431.80000|431.80000|431.27500|431.20000|431.57500|431.35000|431.37500|431.45000|431.65000|431.72500|431.10000","CQ0UAV","439.32500","431.72500","CQ0UTRZ","439.17500","431.57500","0"
"5","Ana UHF CPT C","CQ0DUE|CQ0UES|CQ0USE|CQ0UDE|CQ0UCOI|CQ0UARC|CQ0UCP|CQ0UTV|CQ0ULO|CQ0UG|CQ0UPS|CQ0UCB|CQ0UAB|CQ0UTR|CQ0UCD|CQ0ULR|CQ0UPM|CQ0URL|CQ0DUAI|CQ0UAI|CQ0UAL|CQ0UCAN|CQ0UCR|CQ0UAG|CQ0USMA|CQ0UP|CQ0USR|CQ0UMO|CQ0UM|CQ0UMJ","438.21250|439.05000|438.82500|439.20000|439.15000|438.77500|438.90000|439.30000|438.85000|439.10000|439.00000|439.25000|438.80000|439.17500|438.72500|439.25000|439.02500|439.15000|438.27500|438.87500|438.87500|438.65000|439.42500|439.20000|438.75000|439.27500|439.07500|438.97500|438.67500|439.35000","430.61250|431.45000|431.22500|431.60000|431.55000|431.17500|431.30000|431.70000|431.25000|431.50000|431.40000|431.65000|431.20000|431.57500|431.12500|431.65000|431.42500|431.55000|430.67500|431.27500|431.27500|431.05000|431.82500|431.60000|431.15000|431.67500|431.47500|431.37500|431.07500|431.75000","CQ0DUE","438.21250","430.61250","CQ0UTR","439.17500","431.57500","0"
"6","Ana UHF CPT S","CQ0UVAR|CQ0USC|CQ0UMC|CQ0URVM|CQ0UEC|CQ0UAMR|CQ0SUAS|CQ0USI|CQ0UCAS|CQ0UAM|CQ0DRLX|CQ0USO|CQ0UMST|CQ0UHU 1|CQ0UHU 2|CQ0UCSC|CQ0UREP|CQ0UMN|CQ0UARB|CQ0USTC|CQ0USP|CQ0UDA|CQ0UMT|CQ0UFO|CQ0UMF|CQ0UML|CQ0UIV|CQ0UMM|CQ0USM|CQ0UFL","438.75000|439.05000|439.17500|439.32500|438.87500|439.10000|433.40000|439.12500|439.05000|438.80000|438.23750|438.95000|438.65000|431.35000|438.95000|438.72500|439.02500|439.35000|439.40000|438.92500|438.72500|438.80000|438.65000|438.67500|439.42500|438.85000|439.37500|438.92500|438.70000|439.22500","431.15000|431.45000|431.57500|431.72500|431.27500|431.50000|433.40000|431.52500|431.45000|431.20000|430.63750|431.35000|431.05000|438.95000|431.35000|431.12500|431.42500|431.75000|431.80000|431.32500|431.12500|431.20000|431.05000|431.07500|431.82500|431.25000|431.77500|431.32500|431.10000|431.62500","CQ0UMM","438.92500","431.32500","CQ0UVAR","438.75000","431.15000","0"
"7","DMR VHF CPT N","CQ0VMI TS1|CQ0VMI TS2","145.77500|145.77500","145.17500|145.17500","CQ0VMI TS1","145.77500","145.17500","CQ0VMI TS1","145.77500","145.17500","0"
"8","DMR VHF CPT C","CQ0DKE TS1|CQ0DKE TS2","145.58750|145.58750","144.98750|144.98750","CQ0DKE TS1","145.58750","144.98750","CQ0DKE TS1","145.58750","144.98750","0"
"9","DMR UHF CPT N","CQ0USA TS1|CQ0USA TS2|CQ0DBO TS1|CQ0DBO TS2|CQ0DMI TS1|CQ0DMI TS2|CQ0DPD TS1|CQ0DPD TS2|CQ0DAM TS1|CQ0DAM TS2|CQ0DBA TS1|CQ0DBA TS2|CQ0DGM TS1|CQ0DGM TS2|CQ0DMV TS1|CQ0DMV TS2|CQ0DSO TS1|CQ0DSO TS2|CQ0DSF TS1|CQ0DSF TS2|CQ0DFR TS1|CQ0DFR TS2|CQ0DLU TS1|CQ0DLU TS2|CQ0DTRZ TS1|CQ0DTRZ TS2|CQ0DVI TS1|CQ0DVI TS2","438.65000|438.65000|438.40000|438.40000|438.47500|438.47500|438.43750|438.43750|438.22500|438.22500|438.45000|438.45000|438.25000|438.25000|438.47500|438.47500|438.36250|438.36250|438.20000|438.20000|438.50000|438.50000|438.40000|438.40000|438.31250|438.31250|438.51250|438.51250","431.05000|431.05000|430.80000|430.80000|430.87500|430.87500|430.83750|430.83750|430.62500|430.62500|430.85000|430.85000|430.65000|430.65000|430.87500|430.87500|430.76250|430.76250|430.60000|430.60000|430.90000|430.90000|430.80000|430.80000|430.71250|430.71250|430.91250|430.91250","CQ0DTRZ TS2","438.31250","430.71250","CQ0USA TS1","438.65000","431.05000","0"
"10","DMR UHF CPT C","CQ0DAB TS1|CQ0DAB TS2|CQ0DRX TS1|CQ0DRX TS2|CQ0DCO TS1|CQ0DCO TS2|CQ0DFF TS1|CQ0DFF TS2|CQ0DUG TS1|CQ0DUG TS2|CQ0DAL TS1|CQ0DAL TS2|CQ0DLIZ TS1|CQ0DLIZ TS2|CQ0DCD TS1|CQ0DCD TS2|CQ0DCRE TS1|CQ0DCRE TS2|CQ0DPG TS1|CQ0DPG TS2|CQ0DCM TS1|CQ0DCM TS2|CQ0DMJ TS1|CQ0DMJ TS2|CQ0DMTV TS1|CQ0DMTV TS2|CQ0DMQ TS1|CQ0DMQ TS2","438.21250|438.21250|438.30000|438.30000|438.41250|438.41250|438.36250|438.36250|438.27500|438.27500|438.20000|438.20000|438.20000|438.20000|438.38750|438.38750|438.50000|438.50000|438.21250|438.21250|438.36250|438.36250|438.43750|438.43750|438.51250|438.51250|438.42500|438.42500","430.61250|430.61250|430.70000|430.70000|438.41250|438.41250|430.76250|430.76250|430.67500|430.67500|430.60000|430.60000|430.60000|430.60000|430.78750|430.78750|430.90000|430.90000|430.61250|430.61250|430.76250|430.76250|430.83750|430.83750|430.91250|430.91250|430.82500|430.82500","CQ0DMJ TS2","438.43750","430.83750","CQ0DAB TS1","438.21250","430.61250","0"
